item,page,line,description,value,replicated
1,179,30,"3,846 U.S. students",3846,
2,179,35,comprised the vast majority (98%) of the U.S. sample,0.98,
3,179,36,"2% of the sample was in Grade 7, 8, or 11",0.02,
4,179,41,"final sample of the present study included 3,268 students",3268,
5,179,42,from 121 schools,121,
6,179,57,(Cronbach’s α) was ,0.83,
7,179,58,Emotional engagement refers to a sense of belonging at school (α = .86),0.86,
8,180,80,The percentage of missingness varied from 0 (grade level),0,
9,180,81, to 15.3 (SES),0.153,
10,180,88,Behavioral engagement and emotional engagement were index scale scores with means around zero ,0,
11,180,90,and standard deviations close to 1,1,
12,180,90,The mean reading score was 514.54 ,514.54,
13,180,91,[read score] (SD = 97.18).,97.18,
14,180,91,Intraclass correlation of reading performance was .20.,0.2,
15,180,93,Slightly more than half of the students were female and about 60% were in Grade 10,0.6,
16,180,95,majority of the students were European American (62.70%),0.6276,
17,180,96,spoke  English at home (91.03%).,0.9103,
18,180,97,Individual SES scores varied widely ranging from 16 ,16,
19,180,97,[individual SES max],90,
20,180,98,with a mean of 53.0 ,53,
21,180,98,(SD = 16.4).,16.4,
22,180,102,The school mean SES ranged from 31.5,31.5,
23,180,102,[school mean SES max] 69,69,
24,180,103,[school mean SES] and the average was 50.9,50.9,
25,180,103,[school mean SES] (SD = 7.2),7.2,
26,180,104,About 79% of the schools were public ,0.79,
27,180,104,and 6% were private;,0.06,
28,181,81,approximately 15% of the schools did not report school type,0.015,
29,181,125,a 1 standard deviation increase in behavioral engagement predicted a 0.10 standard deviation increase in reading score (p < .001) ,0.1,
30,181,127,(p < .001),0.001,
31,181,127,and a 1 standard deviation increase in emotional engagement predicted a 0.04 standard deviation increase in reading score (p < .001).,0.04,
32,181,129,(p < .001),0.001,
33,181,132,The full model explained 28.0% of Level 1 variance ,0.28,
34,181,133,and 61.7% of Level 2 variance.,0.617,
35,181,141,". Emotional engagement was positively associated with behavioral engagement (B = 0.176, SE = 0.017, p < .001),",0.176,
36,181,141,". Emotional engagement was positively associated with behavioral engagement (B = 0.176, SE = 0.017, p < .001),",0.017,
37,181,142,". Emotional engagement was positively associated with behavioral engagement (B = 0.176, SE = 0.017, p < .001),",0.001,
38,181,143,"and behavioral engagement was positively associated with reading scores (B = 0.106, SE = 0.015, p < .001)",0.106,
39,181,143,"and behavioral engagement was positively associated with reading scores (B = 0.106, SE = 0.015, p < .001)",0.015,
40,181,144,"and behavioral engagement was positively associated with reading scores (B = 0.106, SE = 0.015, p < .001)",0.001,
41,181,144,the mediation effect was 0.176 × 0.106 = 0.01,0.019,
42,181,147,the standard error of the mediation effect was,0.000007,
43,181,148,the critical ratio was 0.019/0.000007 = 5.945 (p < .001),5.945,
44,181,148,the critical ratio was 0.019/0.000007 = 5.945 (p < .001),0.001,
45,181,150,direct effect of emotional engagement on reading was 0.037,0.037,
46,181,150,the indirect effect was 0.019,0.019,
47,181,151,and the total effect (equivalent to the sum of direct and indirect effect) was 0.056,0.056,
48,181,,TABLE1,,
49,181,,TABLE2,,
50,181,,FIGURE1,,
51,182,,TABLE3,,
